‘„«—Â	œ«‰‘òœÂ	—‘ Â	Ã‰”Ì 	”«· Ê—Êœ	„⁄œ·	”Ê«· 1	”Ê«· 2	”Ê«· 3	”Ê«· 4	”Ê«· 5	”Ê«· 6	”Ê«· 7	”Ê«· 8	”Ê«· 9	”Ê«· 10	”Ê«· 11	”Ê«· 12	”Ê«· 13	”Ê«· 14	”Ê«· 15	”Ê«· 16	”Ê«· 17	”Ê«· 18	”Ê«· 19	”Ê«· 20	”Ê«· 21	”Ê«· 22	‰„—Â œ«‰‘ê«Â
16	«œ»Ì« 	›«—”Ì	„—œ	95	16	4	2	3	2	3	3	4	2	3	4	4	4	4	3	2	2	2	3	3	4	3	3	5
17	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	“‰	93	16.58	4	1	3	2	2	1	2	1	2	2	3	1	1	1	1	3	1	1	1	2	1	1	6
18	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	„—œ	91	14	4	2	3	4	1	5	4	1	4	3	5	1	2	5	3	4	3	4	3	2	2	3	5
19	«œ»Ì« 	—Ê”Ì	“‰	93	18.25	4	4	4	3	4	2	2	2	3	4	4	1	3	3	4	3	3	3	3	4	2	3	7
20	«œ»Ì« 	—Ê”Ì	“‰	93	19	4	4	4	4	4	2	2	2	4	5	5	1	2	1	1	2	2	1	2	4	2	3	5
21	«œ»Ì« 	⁄—»Ì	“‰	93	16.86	5	5	3	4	3	4	5	2	3	3	5	1	2	1	3	4	4	3	2	4	3	5	7
22	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	„—œ	91	14	1	2	3	1	2	5	4	3	4	4	4	2	3	3	4	1	2	3	2	4	3	2	6
23	«œ»Ì« 	⁄—»Ì	“‰	93	16.85	5	5	5	5	3	1	2	2	3	4	3	1	2	1	1	2	3	2	1	2	1	1	7
24	«œ»Ì« 	⁄—»Ì	“‰	93		5	5	4	5	4	2	2	2	1	5	5	1	1	1	1	5	1	1	1	1	1	3	5
25	«œ»Ì« 	›«—”Ì	„—œ	93	16	3	4	3	4	2	1	5	4	5	2	4	2	2	1	1	1	4	4	4	4	1	1	5
26	«œ»Ì« 	⁄—»Ì	“‰	95	19	4	3	5	4	3	3	3	2	3	4	5	3	3	1	2	4	3	3	3	5	3	4	7
27	«œ»Ì« 	⁄—»Ì	“‰	95		4	3	5	4	3	3	4	2	3	4	5	3	3	2	2	4	3	3	3	5	3	4	7
28	«œ»Ì« 	⁄—»Ì	“‰	95		4	3	5	4	4	4	3	3	3	4	5	3	3	1	2	4	3	2	3	5	3	4	7
29	«œ»Ì« 	›·”›Â	„—œ	95	17	4	3	3	3	2	4	4	1	2	1	3	1	2	3	1	1	2	3	2	2	2	2	4
30	«œ»Ì« 	›·”›Â	„—œ	94	16.8	4	2	4	3	2	1	2	1	5	4	4	4	3	3	2	2	4	3	1	4	2	2	7
31	«œ»Ì« 	¬·„«‰Ì	“‰	94		5	5	4	2	4	4	2	3	3	2	2	3	3	1	2	4	2	2	2	5	1	1	7
32	«œ»Ì« 	¬·„«‰Ì	„—œ	94		5	2	1	1	1	4	1	1	3	3	4	4	2	1	1	1	1	1	1	3	3	1	6
33	«œ»Ì« 	¬·„«‰Ì	“‰	93	16.5	4	4	2	2	3	1	5	1	4	4	5	2	2	1	1	1	1	3	1	3	1	1	4
34	«œ»Ì« 	¬·„«‰Ì	“‰	94	17	4	2	4	4	5	3	3	2	1	4	2	1	1	1	2	1	1	1	3	3	2	1	5
35	«œ»Ì« 	 «—ÌŒ	“‰	93	16	4	3	5	4	5	5	5	4	3	5	5	3	3	2	4	5	4	3	4	5	5	5	7
36	«œ»Ì« 	›·”›Â	„—œ	95		1	3	4	2	3	4	1	1	5	5	4	1	3	4	4	4	1	2	2	3	1	2	4
37	«œ»Ì« 	›·”›Â	„—œ	94	15	2	3	4	1	1	1	1	1	5	4	4	1	1	3	3	2	1	2	1	3	2	1	3
38	«œ»Ì« 	—Ê”Ì	“‰	90	17	3	3	4	4	4	2	4	2	3	4	5	3	3	4	3	5	5	4	3	5	4	1	9
39	«œ»Ì« 	›«—”Ì	“‰	92	17.32	5	5	4	3	4	1	2	1	1	1	5	1	1	1	2	3	3	4	5	2	1	1	5
40	«œ»Ì« 	›«—”Ì	“‰	92	15.33	4	5	4	3	5	1	1	1	1	1	5	1	2	1	2	3	3	4	5	2	1	1	5
41	«œ»Ì« 	—Ê”Ì	“‰	94	18.5	1	4	4	4	4	3	4	3	4	3	5	4	2	2	5	4	3	5	3	4	4	4	9
42	«œ»Ì« 	⁄—»Ì	“‰	95	17.63	4	4	4	3	3	1	3	4	4	4	5	4	3	1	4	4	5	5	5	5	5	1	7
43	«œ»Ì« 	⁄—»Ì	“‰			5	5	5	4	5	3	4	4	4	4	4	1	1	2	2	4	5	5	5	5	4	1	6
44	«œ»Ì« 	⁄—»Ì	“‰	95	17	5	5	4	3	4	4	4	4	4	1	4	4	4	5	4	4	4	4	5	4	5	1	8
45	«œ»Ì« 	⁄—»Ì	“‰	93	15.5	2	4	4	4	4	3	3	2	4	4	4	3	3	2	3	2	4	2	3	4	2	1	7
46	«œ»Ì« 	⁄—»Ì	“‰	93	15.5	3	4	3	3	4	2	4	2	4	2	5	1	4	1	4	1	1	1	2	4	3	2	8
47	«œ»Ì« 	»«” «‰ ‘‰«”Ì	“‰	94	17	3	3	4	4	4	2	1	2	5	4	4	2	3	1	1	3	3	4	3	4	3	1	7
48	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	“‰	93	14	2	1	3	3	2	3	2	1	2	1	2	1	1	1	3	1	1	1	1	1	1	1	3
49	«œ»Ì« 	 «—ÌŒ	“‰	93	18.3	3	3	5	4	5	4	3	2	5	5	5	2	2	3	5	5	4	5	5	5	3	1	9
50	«œ»Ì« 	⁄—»Ì	“‰	95		3	3	4	3	3	4	4	2	3	3	4	3	5	3	3	5	3	3	4	5	4	2	9
51	«œ»Ì« 	⁄—»Ì	“‰	95	16.77	5	4	2	3	5	5	3	1	3	4	5	1	3	1	3	4	3	3	2	3	2	1	6
52	«œ»Ì« 	«‰ê·Ì”Ì	„—œ	95	17.15	3	3	3	4	3	4	2	1	3	3	3	1	3	3	3	2	4	4	3	2	2	2	5
53	«œ»Ì« 	›·”›Â	“‰	93	16	1	2	2	3	3	3	3	3	4	4	4	1	1	1	4	1	1	1	1	3	1	1	7
54	«œ»Ì« 	›·”›Â	“‰	93	13.5	3	4	4	3	4	2	3	1	3	4	3	3	3	1	1	4	4	3	3	3	4	3	5
55	«œ»Ì« 	 «—ÌŒ	“‰	93	16	4	2	4	3	5	4	4	1	3	2	4	1	2	1	1	2	2	2	3	4	3	1	8
56	«œ»Ì« 	›«—”Ì	“‰	95	16	4	4	5	4	4	4	4	4	5	5	5	3	4	4	4	5	5	5	5	5	5	2	9
57	«œ»Ì« 	›«—”Ì	“‰	95	15	4	3	2	4	4	3	5	5	4	4	5	3	5	4	3	4	4	4	4	4	3	1	9
58	«œ»Ì« 	«‰ê·Ì”Ì	„—œ	95	18.97	4	3	5	4	4	3	2	1	1	3	5	2	2	4	3	1	3	3	2	3	4	1	7
59	«œ»Ì« 	«‰ê·Ì”Ì	„—œ	95	19.15	2	2	4	3	2	2	1	2	3	3	3	2	4	5	1	1	1	1	2	3	2	1	6
60	«œ»Ì« 	›·”›Â	“‰	94	18.36	4	3	3	2	4	2	1	1	3	4	5	1	1	1	2	2	3	3	4	2	1	1	7
61	«œ»Ì« 	⁄—»Ì	“‰	93	18.5	1	2	4	3	4	1	1	1	3	4	4	1	2	1	2	1	3	2	2	3	1	1	5
62	«œ»Ì« 	⁄—»Ì	“‰	93	16.9	5	5	3	1	3	2	1	1	3	2	4	3	2	1	2	3	1	1	3	3	3	1	5
63	«œ»Ì« 	⁄—»Ì	“‰	93	14	4	2	4	4	4	3	1	1	3	3	4	4	4	2	1	3	3	2	2	4	3	1	8
64	«œ»Ì« 	⁄—»Ì	„—œ	93	17.6	2	3	4	4	4	2	2	1	4	3	4	2	2	1	2	2	4	4	3	3	1	2	7
65	«œ»Ì« 	«‰ê·Ì”Ì	“‰	92	16.5	1	1	5	5	5	5	1	1	3	4	5	3	4	4	3	3	5	3	3	4	2	1	7
66	«œ»Ì« 	›—«‰”ÊÌ	“‰	93	19	2	3	3	4	2	3	1	1	4	1	4	1	2	1	1	1	2	2	2	3	3	1	4
67	«œ»Ì« 	¬·„«‰Ì	“‰	93	14.5	2	4	2	2	3	4	3	5	4	5	4	4	3	3	2	2	3	4	4	2	2	1	5
68	«œ»Ì« 	 «—ÌŒ	“‰	95		5	5	4	3	3	3	1	1	3	3	5	1	1	1	3	1	3	1	3	1	3	5	7
69	«œ»Ì« 	›—«‰”ÊÌ	„—œ	92		2	1	3	1	1	2	1	1	3	3	4	2	2	2	2	2	2	2	2	2	2	2	5
70	«œ»Ì« 	¬·„«‰Ì	„—œ	93		5	5	3	4	3	1	5	5	3	2	5	5	3	5	5	5	5	4	5	4	3	5	4
71	«œ»Ì« 	«‰ê·Ì”Ì	“‰	92	18	2	3	3	4	2	3	3	3	4	2	5	4	2	1	2	3	2	2	2	4	3	1	5
72	«œ»Ì« 	›—«‰”ÊÌ	„—œ	95	17	4	4	5	4	4	5	3	2	4	5	4	1	2	3	3	3	3	3	3	2	2	3	7
73	«œ»Ì« 	 «—ÌŒ	„—œ	94	19	4	3	4	4	3	3	3	2	4	4	4	1	3	3	2	2	3	3	2	3	3	3	6
74	«œ»Ì« 	 «—ÌŒ	“‰	95		4	3	2	2	5	3	1	1	3	3	2	1	3	1	1	4	4	1	3	2	4	1	6
75	«œ»Ì« 	çÌ‰Ì	“‰	93	16.35	1	2	4	2	3	3	1	1	4	4	5	2	2	1	2	2	2	3	3	2	2	1	4
76	«œ»Ì« 	—Ê”Ì	“‰	92	18	3	4	4	4	4	3	1	1	4	4	1	2	1	1	1	1	2	2	3	1	1	1	8
77	«œ»Ì« 	çÌ‰Ì	„—œ	95	15	3	4	5	4	5	4	2	1	5	5	5	4	4	4	5	4	3	3	4	4	3	3	7
78	«œ»Ì« 	çÌ‰Ì	„—œ	95	15	5	5	5	5	5	4	1	1	4	3	2	1	3	1	1	2	2	2	3	3	3	3	7
79	«œ»Ì« 	çÌ‰Ì	„—œ	95	14.5	2	2	5	4	4	4	1	1	3	4	4	1	3	2	1	4	3	2	3	3	4	3	6
80	«œ»Ì« 	«‰ê·Ì”Ì	“‰	92	15	2	4	5	3	5	3	1	5	5	5	5	1	1	1	2	2	3	2	3	4	2	1	8
81	«œ»Ì« 	 «—ÌŒ	“‰	93	16	3	4	5	4	5	5	5	2	4	4	5	2	3	3	2	1	3	2	2	4	3	1	5
82	«œ»Ì« 	 «—ÌŒ	“‰	93	17.57	5	4	4	3	5	5	2	2	2	3	4	1	1	1	1	2	3	4	3	4	3	1	9
83	«œ»Ì« 	 «—ÌŒ	“‰	93	15	5	4	4	3	5	4	2	2	3	4	5	2	4	1	4	3	3	3	4	4	3	1	5
84	«œ»Ì« 	çÌ‰Ì	„—œ	93	16	2	4	4	4	4	3	1	1	2	3	5	3	4	3	4	3	1	2	3	1	1	1	7
85	«œ»Ì« 	çÌ‰Ì	„—œ	91	15	2	1	4	4	4	4	3	1	3	4	3	2	3	2	3	3	2	4	4	3	3	2	6
86	«œ»Ì« 	›·”›Â	“‰	93	15	2	4	2	1	2	1	3	3	4	2	5	3	3	1	3	4	3	3	3	2	2	1	3
87	«œ»Ì« 	«‰ê·Ì”Ì	“‰	93	16	2	2	5	4	4	5	2	2	3	5	5	1	2	2	4	4	4	3	3	5	4	3	8
88	«œ»Ì« 	¬·„«‰Ì	“‰	94		4	5	4	3	3	4	5	4	4	4	4	3	3	4	3	4	4	4	3	4	4	5	7
89	«œ»Ì« 	 «—ÌŒ	“‰	94	19.8	3	1	2	1	4	5	1	4	4	5	5	3	5	3	5	5	5	5	4	5	5	1	8
90	«œ»Ì« 	›«—”Ì	“‰	95	15	1	3	3	2	2	2	1	1	5	5	5	2	1	1	1	1	3	1	3	5	2	1	5
91	«œ»Ì« 	›«—”Ì	“‰	94	17.89	1	3	2	1	4	4	1	1	4	2	4	1	1	1	4	3	2	2	3	3	3	1	4
92	«œ»Ì« 	›—«‰”ÊÌ	“‰	93	4	4	3	4	3	3	4	5	2	4	3	4	2	1	1	3	5	5	4	3	5	4	2	7
93	«œ»Ì« 	«‰ê·Ì”Ì	“‰	92	16	4	4	5	2	2	5	1	1	2	1	4	1	3	1	1	1	1	1	4	3	1	1	7
94	«œ»Ì« 	«‰ê·Ì”Ì	„—œ	93	15	2	4	3	2	4	2	1	1	1	1	2	1	2	1	1	1	2	2	5	2	1	1	4
95	«œ»Ì« 	«‰ê·Ì”Ì	„—œ	93	17.5	1	5	4	1	4	1	1	1	3	3	1	1	1	2	5	2	3	1	5	3	1	1	8
96	«œ»Ì« 	⁄—»Ì	“‰	93		4	2	4	3	2	3	4	3	1	4	5	1	1	1	4	5	1	1	1	1	1	1	5
97	«œ»Ì« 	⁄—»Ì	“‰	93		3	1	3	2	4	1	3	2	3	4	4	1	2	2	1	2	3	3	3	3	2	2	6
98	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	“‰	92	16	2	2	5	1	4	5	3	2	4	4	5	4	2	2	5	5	5	3	4	2	4	1	6
99	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	“‰	92	17.06	2	2	4	2	3	4	4	1	4	4	4	1	2	2	4	4	4	4	4	2	2	2	6
100	«œ»Ì« 	«‰ê·Ì”Ì	“‰	94	16	3	4	4	4	2	4	4	2	4	4	5	2	2	2	3	2	3	3	2	5	2	1	7
101	«œ»Ì« 	«‰ê·Ì”Ì	“‰	94	19	3	4	5	5	5	5	4	4	5	5	5	1	2	1	2	1	3	1	2	3	3	1	7
102	«œ»Ì« 		“‰	94	18.64	4	4	5	5	4	5	3	3	4	4	4	2	4	4	1	3	4	3	4	4	4	2	8
103	«œ»Ì« 	 «—ÌŒ	“‰	92	15	1	2	1	1	4	1	1	1	5	5	5	1	1	1	2	1	4	4	5	4	3	1	2
104	«œ»Ì« 	⁄—»Ì	“‰	95	18.6	3	5	4	4	5	5	5	4	5	5	5	4	4	3	4	5	5	4	5	5	5	5	9
105	«œ»Ì« 	⁄—»Ì	“‰	95	18.63	3	5	4	4	5	5	4	4	4	4	4	2	3	3	4	3	3	4	4	5	5	5	8
106	«œ»Ì« 	›—«‰”ÊÌ	„—œ	91	15.3	4	4	2	4	4	4	4	4	5	4	5	2	2	4	4	4	4	5	4	4	4	3	8
107	«œ»Ì« 	›«—”Ì	“‰	95	15.88	3	4	3	2	4	3	4	2	5	4	5	3	3	5	3	1	3	3	4	4	4	1	6
108	«œ»Ì« 	›«—”Ì	“‰	95	16	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	5	4	4	4	5	4	4	9
109	«œ»Ì« 	›«—”Ì	“‰	95	15	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	4	3	4	2	2	9
110	«œ»Ì« 	›«—”Ì	“‰	95	17.64	3	2	4	3	1	5	3	3	4	5	4	4	3	2	4	5	3	3	2	4	3	5	8
111	«œ»Ì« 	›«—”Ì	“‰	95	15	5	4	4	4	4	4	2	1	4	4	5	3	2	2	3	4	4	4	4	4	3	2	8
112	«œ»Ì« 	›·”›Â	“‰	92	14	4	2	5	4	5	5	1	1	3	2	4	1	3	3	2	2	3	4	3	3	4	2	7
113	«œ»Ì« 	›«—”Ì	“‰	95		2	5	4	3	4	4	2	2	4	2	5	1	2	1	1	4	1	2	5	3	3	1	7
114	«œ»Ì« 	›«—”Ì	“‰	94	17.79	2	2	2	1	1	4	2	1	4	2	4	1	1	1	4	4	2	2	3	4	2	1	7
115	«œ»Ì« 	›«—”Ì	„—œ	95	13	3	4	4	2	2	4	1	2	3	2	4	3	3	3	3	4	3	3	3	2	2	2	7
116	«œ»Ì« 	›«—”Ì	“‰	95	17	1	1	4	5	2	2	1	1	4	5	4	1	2	1	2	5	5	2	4	2	1	2	7
117	«œ»Ì« 	›«—”Ì	“‰	95	16.75	5	4	5	4	4	5	4	3	5	4	5	1	2	1	1	4	2	2	3	5	4	2	8
118	«œ»Ì« 	›«—”Ì	“‰	94	17	4	2	4	3	4	2	2	3	4	4	3	1	4	1	4	4	3	2	4	2	4	5	7
119	«œ»Ì« 	«‰ê·Ì”Ì	“‰	94		4	4	2	2	1	2	1	1	1	1	5	2	2	1	1	1	1	2	1	3	2	1	3
120	«œ»Ì« 	›·”›Â	„—œ	92	14	4	1	4	3	3	4	1	2	4	5	4	4	4	4	4	2	3	4	3	2	2	2	6
121	«œ»Ì« 	›·”›Â	“‰	94	14	4	5	4	1	3	5	4	3	3	4	3	4	3	4	3	3	4	4	4	3	3	5	5
122	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	“‰	93	17	2	1	3	3	2	2	3	3	4	4	4	3	4	1	3	4	2	3	3	2	2	2	6
123	«œ»Ì« 	›·”›Â	„—œ	92	11.5	1	1	5	2	3	4	1	2	5	3	4	1	4	3	1	3	1	1	3	2	1	1	8
124	«œ»Ì« 	⁄—»Ì	“‰	94		5	5	5	5	5	2	4	4	3	4	5	2	3	2	3	4	3	3	3	4	4	4	9
125	«œ»Ì« 	⁄—»Ì	“‰	94		5	5	5	5	5	2	4	4	3	4	5	2	3	2	3	4	3	3	3	4	4	4	9
126	«œ»Ì« 	«‰ê·Ì”Ì	„—œ	91	15.07	4	4	4	3	3	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2
127	«œ»Ì« 	çÌ‰Ì	“‰	93		1	2	4	2	3	4	4	1	4	5	5	2	4	1	1	2	1	3	1	4	4	1	5
128	«œ»Ì« 	çÌ‰Ì	“‰	93		1	1	3	4	5	4	2	2	3	3	4	4	2	1	2	3	4	4	3	1	1	1	4
129	«œ»Ì« 	çÌ‰Ì	“‰	91		1	1	3	4	1	5	4	2	4	1	3	1	1	1	1	1	1	1	1	1	3	1	2
130	«œ»Ì« 	›«—”Ì	“‰	92	16	4	4	4	2	2	2	5	1	5	5	5	3	4	2	1	4	5	4	3	4	4	3	6
131	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	“‰	95		4	3	2	2	4	3	1	2	4	3	3	1	2	3	4	1	3	2	5	4	2	1	6
132	«œ»Ì« 	«‰ê·Ì”Ì	“‰	95	18.21	3	1	4	3	3	2	1	2	3	1	2	1	4	2	1	2	3	1	3	2	4	1	7
133	«œ»Ì« 	¬·„«‰Ì	“‰	95	19	2	4	5	5	4	5	2	1	3	3	5	1	4	2	3	1	1	3	3	4	2	1	5
134	«œ»Ì« 	›«—”Ì	“‰	95	15.8	5	5	4	1	4	3	3	1	4	4	4	1	4	1	5	1	1	3	3	3	2	4	5
135	«œ»Ì« 	›«—”Ì	“‰	95	15.19	5	5	4	1	4	3	3	5	4	4	5	1	4	1	4	1	1	3	3	3	4	4	5
136	«œ»Ì« 	¬·„«‰Ì	“‰	93	17.5	1	4	4	3	4	3	2	2	4	2	4	4	4	2	3	4	3	4	3	4	2	1	5
137	«œ»Ì« 	›—«‰”ÊÌ	„—œ	93	16.3	4	2	5	3	4	4	3	4	2	2	3	4	3	2	4	4	1	2	4	2	2	1	8
138	«œ»Ì« 	«‰ê·Ì”Ì	“‰	95	18.9	1	1	3	1	3	1	1	3	2	1	4	1	2	1	1	2	1	3	2	1	1	1	5
139	«œ»Ì« 	«‰ê·Ì”Ì	“‰	95	18.81	4	3	5	2	4	4	3	1	3	4	4	4	2	2	2	4	4	3	4	3	2	1	6
140	«œ»Ì« 	¬·„«‰Ì	“‰	95	19	3	4	5	3	4	3	2	1	4	4	2	3	3	1	2	1	3	2	3	4	3	2	6
141	«œ»Ì« 	çÌ‰Ì	„—œ	93	16.5	2	3	4	3	4	1	1	2	4	4	5	4	4	4	4	2	4	4	4	3	2	1	6
142	«œ»Ì« 	çÌ‰Ì	“‰	93	16.9	3	3	4	3	2	4	1	1	3	3	3	2	3	2	1	1	3	3	4	4	3	2	4
143	«œ»Ì« 	¬·„«‰Ì	„—œ	95	18.5	3	3	4	4	4	4	1	4	4	2	4	2	3	4	3	2	2	2	4	3	3	1	6
144	«œ»Ì« 	«‰ê·Ì”Ì	“‰	95	18.5	4	5	5	4	5	5	5	1	5	5	3	4	3	1	2	3	3	3	3	3	2	1	8
145	«œ»Ì« 	›«—”Ì	“‰	95	17.65	4	4	4	4	3	4	5	3	3	5	5	3	3	2	4	4	3	3	2	4	4	4	8
146	«œ»Ì« 	 «—ÌŒ	“‰	92	17.43	3	3	2	4	4	4	5	4	4	5	3	2	4	3	4	2	2	3	4	4	2	1	5
147	«œ»Ì« 	›«—”Ì	“‰	93	16.75	4	3	4	5	5	4	4	5	4	2	4	3	3	3	2	3	3	4	2	2	2	1	8
148	«œ»Ì« 	›—«‰”ÊÌ	“‰	94	16.58	1	3	3	1	1	2	3	1	1	1	4	3	3	1	4	4	4	4	4	3	3	1	4
149	«œ»Ì« 	 «—ÌŒ	„—œ	93	18.75	4	3	5	4	4	3	4	3	2	2	4	3	3	3	4	3	3	3	4	4	3	3	7
150	«œ»Ì« 	 «—ÌŒ	„—œ	94	19.37	5	4	5	3	4	5	5	1	3	4	5	4	4	3	2	1	3	3	3	2	3	2	6
151	«œ»Ì« 	«‰ê·Ì”Ì	“‰	92	16	4	4	4	4	2	3	4	4	4	4	5	3	2	1	3	3	3	3	2	4	3	3	5
152	«œ»Ì« 	çÌ‰Ì	“‰	93	15.2	1	1	2	2	1	2	2	1	3	3	3	1	3	1	1	1	1	1	3	2	2	2	4
153	«œ»Ì« 		“‰	91	13.5	2	1	2	1	3	1	3	3	2	2	4	3	2	2	3	1	2	1	3	1	1	3	5
154	«œ»Ì« 	›«—”Ì	“‰	94	17	4	3	5	4	4	5	2	1	4	4	5	3	3	1	1	4	4	2	2	5	4	5	10
155	«œ»Ì« 	›«—”Ì	“‰	93	17.24	4	5	5	5	5	4	4	2	5	5	5	2	3	4	4	5	3	5	5	5	4	2	9
156	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	„—œ	95		4	4	4	2	3	3	2	1	5	5	5	3	4	2	2	5	3	2	4	4	3	2	7
157	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	“‰	93	15	2	2	5	4	4	5	5	2	3	3	4	2	4	1	3	3	4	3	3	4	3	1	7
158	«œ»Ì« 	›«—”Ì	“‰	94		2	2	4	4	3	3	2	2	4	4	4	1	4	2	3	2	3	3	3	4	4	4	8
159	«œ»Ì« 	⁄—»Ì	“‰	95	18.2	4	4	5	4	4		2	2	3	3	4	4	3	1	3	3	4	4	3	4	4	4	7
160	«œ»Ì« 	⁄—»Ì	„—œ	95	18		4	4	3	4	1	4	4	4	3	4	3	4	3	2	1	3	5	3	4	2	4	7
161	«œ»Ì« 	—Ê”Ì	„—œ	90	12.57	4			3	4	3		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6
162	«œ»Ì« 	⁄—»Ì	“‰	95		1	3	2	1	2	3	1	1	1	3	3	3	3	3	1	3	2		2	2	1	1	3
163	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	„—œ	91		3	2	3	4	4	4		3	5	5	4	3	4	4	3	4	3	3	3	4	4	4	8
164	«œ»Ì« 					4	5	4	3	4	5	3	2	4	3	4	2	4	4	4	1	3	4		4	3	4	7
165	«œ»Ì« 	⁄—»Ì	“‰	95		3	5	5	5	4	4	4	4	2		5	4		1	4	4	3	3	5	5	3	5	8
166	«œ»Ì« 	»«” «‰ ‘‰«”Ì	“‰	95	5	5	4	3	1	2	2	3	1	1	2	3	1	2	2		2	3	3	3	2	4	3	7
167	«œ»Ì« 	 «—ÌŒ	“‰	92	18.5	4	3	2	2	1		3	2	3	2	2	1	2	2	1	1	3	2	4	5	4	1	8
168	«œ»Ì« 	⁄·Ê„ «Ã „«⁄Ì	“‰	94	16	4	1	5	3	4	2	4	4	2	1	4	3		3	1	3	2	2	3	4	4	3	7
169	«œ»Ì« 	›«—”Ì	“‰	91	15	3	2	4	4	2	1	2	3	1	2	5	1	1	1	2	1	3	4	4	3		1	8
170	«œ»Ì« 	»«” «‰ ‘‰«”Ì	“‰	94	17.2	3	2	4		3	4	1	2	2	1	5	1	2	1	1	4	3	4	4	3	1	1	6
171	«œ»Ì« 					4	4	4	3	3	2	4	4	4	5	5	1	2	1	3	4	3	2		4	2	1	5
172	«œ»Ì« 	 «—ÌŒ	“‰	92	17.43	2	3	2	2	3	4	4	4	5	5	5	2		2		2	3	1	4	3	2	1	5
173	«œ»Ì« 	⁄—»Ì	“‰	92	16.58	2		1	5	4	5	2	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	5
174	«œ»Ì« 	›—«‰”ÊÌ	“‰	93		4	4	4	4	3	3	4	4		2	4	2	3	3	1	4	4	3	4	4	3	3	7
